,date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),First dep NB or WB,First dep SB or EB,Last dep NB or WB,Last dep SB or EB,Route,Interruption,time period start,time period end
0,2023-01-14,12,10:00,106,14,18.4,0,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-14 04:00:00,2023-01-14 08:00:00
0,2023-01-14,16,09:30,138,14,14.2,1,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-14 08:00:00,2023-01-14 12:00:00
0,2023-01-14,20,08:30,156,14,12.5,2,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-14 12:00:00,2023-01-14 19:00:00
0,2023-01-14,15,10:00,134,16,14.6,3,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-14 19:00:00,2023-01-14 22:00:00
0,2023-01-14,14,10:00,130,10,15.0,4,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-14 22:00:00,2023-01-15 04:00:00
1,2023-01-15,11,10:00,102,8,19.2,0,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-15 04:00:00,2023-01-15 08:00:00
1,2023-01-15,14,10:00,130,10,15.0,1,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-15 08:00:00,2023-01-15 12:00:00
1,2023-01-15,18,09:00,148,14,13.2,2,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-15 12:00:00,2023-01-15 19:00:00
1,2023-01-15,14,09:30,122,11,16.0,3,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-15 19:00:00,2023-01-15 22:00:00
1,2023-01-15,13,09:30,114,9,17.1,4,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-15 22:00:00,2023-01-16 04:00:00
2,2023-01-16,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-16 04:00:00,2023-01-16 09:00:00
2,2023-01-16,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-16 09:00:00,2023-01-16 15:00:00
2,2023-01-16,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-16 15:00:00,2023-01-16 19:00:00
2,2023-01-16,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-16 19:00:00,2023-01-16 22:00:00
2,2023-01-16,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-16 22:00:00,2023-01-17 04:00:00
3,2023-01-17,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-17 04:00:00,2023-01-17 09:00:00
3,2023-01-17,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-17 09:00:00,2023-01-17 15:00:00
