date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,total delay
datetime64[ns],int64,object,int64,int64,float64,int64,int64,float64,int64,datetime64[ns],datetime64[ns],object,object,int64,int64,float64
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Woodfield Rd,1,1,-88.55
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Coxwell Ave at Gerrard St East,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Euclid Ave,0,1,-55.46666666666667
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Bowmore Rd,2,1,-78.66666666666667
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Bay St,1,1,-86.01666666666667
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Lansdowne Ave,2,1,-133.35
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Indian Rd,0,0,14.133333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Grace St,0,0,-55.11666666666667
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Dufferin St,2,1,-90.43333333333334
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Gerrard St East at Beaton Ave,2,1,-74.7
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Bathurst St,1,1,-61.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Yonge St - College Station,1,1,-79.81666666666666
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Dundas St West at Sterling Rd,0,0,-47.9
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Brock Ave,2,1,-116.78333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Sackville St,0,0,-60.516666666666666
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Carlaw Ave,1,1,-86.63333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Borden St,1,1,-64.98333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Dundas St West at Sorauren Ave,0,0,-56.75
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Crawford St,0,0,-70.48333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Pape Ave,1,1,-85.9
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Spadina Ave,1,1,-70.88333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,River St,0,0,-66.63333333333334
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Marjory Ave,1,1,-78.01666666666667
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Kingsmount Park Rd,2,1,-91.1
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Church St,0,0,-63.75
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Ossington Ave,1,1,-103.71666666666667
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Woodbine Ave,1,1,-89.35
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Jones Ave,1,1,-75.85
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Golfview Ave,1,1,-90.16666666666667
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Leslie St,1,1,-75.28333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,St Matthews Rd,0,0,-68.5
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Jarvis St,0,0,-64.35
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Sherbourne St,0,0,-64.35
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,St George St,1,1,-75.11666666666667
