date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,total delay
datetime64[ns],int64,object,int64,int64,float64,int64,int64,float64,int64,datetime64[ns],datetime64[ns],object,object,int64,int64,float64
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Woodfield Rd,4,3,-242.03333333333333
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Coxwell Ave at Gerrard St East,0,0,0.0
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Euclid Ave,3,1,-124.71666666666667
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Bowmore Rd,4,3,-245.81666666666666
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Bay St,4,3,-213.4
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Lansdowne Ave,6,3,-366.3833333333333
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Indian Rd,0,0,2.166666666666667
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Grace St,1,0,-179.51666666666668
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Dufferin St,5,3,-244.6
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Gerrard St East at Beaton Ave,5,3,-237.26666666666665
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Bathurst St,3,1,-135.0
2025-01-01 00:00:00,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,Yonge St - College Station,3,3,-205.86666666666667
