date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,"delay time (5,19]","delay time (19,120]"
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Indian Rd,1,5,5,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Kingsmount Park Rd,3,5,6,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Brock Ave,4,4,5,2
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Woodbine Ave,5,5,7,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Elizabeth St,2,5,5,2
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Coxwell Ave at Lower Gerrard St East,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Parliament St at Gerrard St East,3,5,5,2
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Marjory Ave,6,4,10,1
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Bathurst St,3,4,5,2
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,St George St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Roncesvalles Ave,1,3,6,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Golfview Ave,5,6,8,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Bay St,3,6,6,2
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Jones Ave,6,4,10,1
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Dufferin St,3,3,5,3
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Ashdale Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Sackville St,6,5,6,3
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Glenmount Park Rd,5,6,8,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Borden St,3,4,5,2
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Leslie St,7,4,10,1
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Woodfield Rd,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Dundas St West at Howard Park Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Rusholme Park Cres,3,4,5,2
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Norwood Rd,5,6,7,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,St Matthews Rd,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Sumach St,5,3,6,2
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Dundas St West,1,4,5,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,E,Yonge St - College Station,2,6,6,2
