date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,bunch,total delay,gap
2025-01-01,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,E,1318,8165.0,13
2025-01-01,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-01 09:00:00,2025-01-01 15:00:00,W,367,2299.0,13
2025-01-02,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-02 09:00:00,2025-01-02 15:00:00,E,1301,8091.0,13
2025-01-02,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-02 09:00:00,2025-01-02 15:00:00,W,367,919.0,13
2025-01-03,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-03 09:00:00,2025-01-03 15:00:00,E,1302,7283.0,13
2025-01-03,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-03 09:00:00,2025-01-03 15:00:00,W,361,808.0,13
2025-01-06,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-06 09:00:00,2025-01-06 15:00:00,E,1312,6850.0,13
2025-01-06,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-06 09:00:00,2025-01-06 15:00:00,W,366,710.0,13
2025-01-07,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-07 09:00:00,2025-01-07 15:00:00,E,1299,2076.0,13
2025-01-07,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-07 09:00:00,2025-01-07 15:00:00,W,374,283.0,13
2025-01-08,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-08 09:00:00,2025-01-08 15:00:00,E,1300,2719.0,13
2025-01-08,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-08 09:00:00,2025-01-08 15:00:00,W,368,504.0,13
2025-01-09,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-09 09:00:00,2025-01-09 15:00:00,E,1299,3201.0,13
2025-01-09,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-09 09:00:00,2025-01-09 15:00:00,W,366,318.0,13
2025-01-10,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-10 09:00:00,2025-01-10 15:00:00,E,1335,7193.0,13
2025-01-10,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-10 09:00:00,2025-01-10 15:00:00,W,366,868.0,13
2025-01-13,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-13 09:00:00,2025-01-13 15:00:00,E,1299,5883.0,13
2025-01-13,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-13 09:00:00,2025-01-13 15:00:00,W,368,864.0,13
2025-01-14,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-14 09:00:00,2025-01-14 15:00:00,E,1299,3635.0,13
2025-01-14,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-14 09:00:00,2025-01-14 15:00:00,W,366,395.0,13
2025-01-15,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-15 09:00:00,2025-01-15 15:00:00,E,1307,426.0,13
2025-01-15,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-15 09:00:00,2025-01-15 15:00:00,W,375,74.0,13
2025-01-16,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-16 09:00:00,2025-01-16 15:00:00,E,1413,2028.0,13
2025-01-16,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-16 09:00:00,2025-01-16 15:00:00,W,431,160.0,13
2025-01-17,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-17 09:00:00,2025-01-17 15:00:00,E,1325,5052.0,13
2025-01-17,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-17 09:00:00,2025-01-17 15:00:00,W,373,523.0,13
2025-01-20,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-20 09:00:00,2025-01-20 15:00:00,E,1337,3727.0,13
2025-01-20,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-20 09:00:00,2025-01-20 15:00:00,W,476,721.0,13
2025-01-21,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-21 09:00:00,2025-01-21 15:00:00,E,1301,3947.0,13
2025-01-21,17,10:00,161,9,11.2,1,0,30.13,0,2025-01-21 09:00:00,2025-01-21 15:00:00,W,367,484.0,13
