,Time,Vehicle,Gap,Headway,Schedule,Destination,day,day of the week,stop,stopID
0,5:00:10AM - 5:00:40AM,4489.0,,20:00,0:02 ahead of 5:00:12AM,West to High Park,2026-01-03,5,Main St at Danforth Ave,7518
1,5:20:39AM,4514.0,19:59,18:00,0:27 behind 5:20:12AM,West to High Park,2026-01-03,5,Main St at Danforth Ave,7518
2,5:35:59AM,4657.0,15:20,16:00,0:13 ahead of 5:36:12AM,West to High Park,2026-01-03,5,Main St at Danforth Ave,7518
3,4:38:52AM - 4:39:23AM,4647.0,,22:00,0:22 ahead of 4:39:14AM,West to High Park,2026-01-05,0,Main St at Danforth Ave,7518
4,5:01:12AM,4490.0,21:49,22:00,0:02 ahead of 5:01:14AM,West to High Park,2026-01-05,0,Main St at Danforth Ave,7518
5,5:23:14AM (sched),,,22:00,Scheduled at 5:23:14AM,West to High Park,2026-01-05,0,Main St at Danforth Ave,7518
6,5:38:54AM,4606.0,37:42,15:00,0:40 behind 5:38:14AM,West to High Park,2026-01-05,0,Main St at Danforth Ave,7518
7,4:37:01AM,4512.0,,22:00,2:13 ahead of 4:39:14AM,West to High Park,2026-01-06,1,Main St at Danforth Ave,7518
8,5:00:31AM - 5:01:21AM,4462.0,23:30,22:00,0:43 ahead of 5:01:14AM,West to High Park,2026-01-06,1,Main St at Danforth Ave,7518
9,5:23:52AM,4659.0,22:31,18:30,0:38 behind 5:23:14AM,West to High Park,2026-01-06,1,Main St at Danforth Ave,7518
10,5:38:42AM - 5:39:12AM,4483.0,14:50,15:00,0:28 behind 5:38:14AM,West to High Park,2026-01-06,1,Main St at Danforth Ave,7518
11,4:39:29AM,4454.0,,22:00,0:15 behind 4:39:14AM,West to High Park,2026-01-07,2,Main St at Danforth Ave,7518
12,4:58:48AM,4660.0,19:19,22:00,2:26 ahead of 5:01:14AM,West to High Park,2026-01-07,2,Main St at Danforth Ave,7518
13,5:23:47AM,4438.0,24:59,18:30,0:33 behind 5:23:14AM,West to High Park,2026-01-07,2,Main St at Danforth Ave,7518
14,5:39:50AM - 5:40:41AM,4644.0,16:03,15:00,1:36 behind 5:38:14AM,West to High Park,2026-01-07,2,Main St at Danforth Ave,7518
15,4:39:14AM,4490.0,,22:00,0:00 behind 4:39:14AM,West to High Park,2026-01-08,3,Main St at Danforth Ave,7518
16,5:01:11AM,4529.0,21:57,22:00,0:03 ahead of 5:01:14AM,West to High Park,2026-01-08,3,Main St at Danforth Ave,7518
17,5:23:47AM,4446.0,22:36,18:30,0:29 behind 5:23:18AM,West to High Park,2026-01-08,3,Main St at Danforth Ave,7518
